task_id,surface,adsorbate,seed,calculator
375,Ag110,glycerol,0,sevennet_omni
376,Ag110,glycerol,1,sevennet_omni
377,Ag110,glycerol,2,sevennet_omni
378,Ag100,isopropanol,0,sevennet_omni
379,Ag100,isopropanol,1,sevennet_omni
380,Ag100,isopropanol,2,sevennet_omni
381,Ag100,CO2,0,sevennet_omni
382,Ag100,CO2,1,sevennet_omni
383,Ag100,CO2,2,sevennet_omni
384,Ag100,ethanol,0,sevennet_omni
385,Ag100,ethanol,1,sevennet_omni
386,Ag100,ethanol,2,sevennet_omni
387,Ag100,ethene,0,sevennet_omni
388,Ag100,ethene,1,sevennet_omni
389,Ag100,ethene,2,sevennet_omni
390,Ag100,ethane,0,sevennet_omni
391,Ag100,ethane,1,sevennet_omni
392,Ag100,ethane,2,sevennet_omni
393,Ag100,propane,0,sevennet_omni
394,Ag100,propane,1,sevennet_omni
395,Ag100,propane,2,sevennet_omni
396,Ag100,propene,0,sevennet_omni
397,Ag100,propene,1,sevennet_omni
398,Ag100,propene,2,sevennet_omni
399,Ag100,propanol,0,sevennet_omni
400,Ag100,propanol,1,sevennet_omni
401,Ag100,propanol,2,sevennet_omni
402,Ag100,glycerol,0,sevennet_omni
403,Ag100,glycerol,1,sevennet_omni
404,Ag100,glycerol,2,sevennet_omni
405,Au111,isopropanol,0,sevennet_omni
406,Au111,isopropanol,1,sevennet_omni
407,Au111,isopropanol,2,sevennet_omni
408,Au111,CO2,0,sevennet_omni
409,Au111,CO2,1,sevennet_omni
410,Au111,CO2,2,sevennet_omni
411,Au111,ethanol,0,sevennet_omni
412,Au111,ethanol,1,sevennet_omni
413,Au111,ethanol,2,sevennet_omni
414,Au111,ethene,0,sevennet_omni
415,Au111,ethene,1,sevennet_omni
416,Au111,ethene,2,sevennet_omni
417,Au111,ethane,0,sevennet_omni
418,Au111,ethane,1,sevennet_omni
419,Au111,ethane,2,sevennet_omni
420,Au111,propane,0,sevennet_omni
421,Au111,propane,1,sevennet_omni
422,Au111,propane,2,sevennet_omni
423,Au111,propene,0,sevennet_omni
424,Au111,propene,1,sevennet_omni
425,Au111,propene,2,sevennet_omni
426,Au111,propanol,0,sevennet_omni
427,Au111,propanol,1,sevennet_omni
428,Au111,propanol,2,sevennet_omni
429,Au111,glycerol,0,sevennet_omni
430,Au111,glycerol,1,sevennet_omni
431,Au111,glycerol,2,sevennet_omni
432,Au110,isopropanol,0,sevennet_omni
433,Au110,isopropanol,1,sevennet_omni
434,Au110,isopropanol,2,sevennet_omni
435,Au110,CO2,0,sevennet_omni
436,Au110,CO2,1,sevennet_omni
437,Au110,CO2,2,sevennet_omni
438,Au110,ethanol,0,sevennet_omni
439,Au110,ethanol,1,sevennet_omni
440,Au110,ethanol,2,sevennet_omni
441,Au110,ethene,0,sevennet_omni
442,Au110,ethene,1,sevennet_omni
443,Au110,ethene,2,sevennet_omni
444,Au110,ethane,0,sevennet_omni
445,Au110,ethane,1,sevennet_omni
446,Au110,ethane,2,sevennet_omni
447,Au110,propane,0,sevennet_omni
448,Au110,propane,1,sevennet_omni
449,Au110,propane,2,sevennet_omni
450,Au110,propene,0,sevennet_omni
451,Au110,propene,1,sevennet_omni
452,Au110,propene,2,sevennet_omni
453,Au110,propanol,0,sevennet_omni
454,Au110,propanol,1,sevennet_omni
455,Au110,propanol,2,sevennet_omni
456,Au110,glycerol,0,sevennet_omni
457,Au110,glycerol,1,sevennet_omni
458,Au110,glycerol,2,sevennet_omni
459,Au100,isopropanol,0,sevennet_omni
460,Au100,isopropanol,1,sevennet_omni
461,Au100,isopropanol,2,sevennet_omni
462,Au100,CO2,0,sevennet_omni
463,Au100,CO2,1,sevennet_omni
464,Au100,CO2,2,sevennet_omni
465,Au100,ethanol,0,sevennet_omni
466,Au100,ethanol,1,sevennet_omni
467,Au100,ethanol,2,sevennet_omni
468,Au100,ethene,0,sevennet_omni
469,Au100,ethene,1,sevennet_omni
470,Au100,ethene,2,sevennet_omni
471,Au100,ethane,0,sevennet_omni
472,Au100,ethane,1,sevennet_omni
473,Au100,ethane,2,sevennet_omni
474,Au100,propane,0,sevennet_omni
475,Au100,propane,1,sevennet_omni
476,Au100,propane,2,sevennet_omni
477,Au100,propene,0,sevennet_omni
478,Au100,propene,1,sevennet_omni
479,Au100,propene,2,sevennet_omni
480,Au100,propanol,0,sevennet_omni
481,Au100,propanol,1,sevennet_omni
482,Au100,propanol,2,sevennet_omni
483,Au100,glycerol,0,sevennet_omni
484,Au100,glycerol,1,sevennet_omni
485,Au100,glycerol,2,sevennet_omni
