task_id,surface,adsorbate,seed,calculator,state,E_ads_eV,E_ads_pre_relax_eV,best_seed,run_dir,started_at,finished_at
291,Pt100,glycerol,3,sevennet_omni,finished,-0.8600692749023438,-0.6528244018554688,3,/home/jcho5/goad-global-optimization/runs/Pt100_glycerol_seed3_sevennet_omni,2026-06-20T02:08:43.460854,2026-06-20T03:05:14.217830
292,Pt100,ethene,4,sevennet_omni,finished,-1.6147880554199219,-0.9582023620605469,4,/home/jcho5/goad-global-optimization/runs/Pt100_ethene_seed4_sevennet_omni,2026-06-19T02:39:00.445382,2026-06-19T02:55:45.872741
292,Pt100,glycerol,4,sevennet_omni,finished,-0.7435226440429688,-0.6507186889648438,4,/home/jcho5/goad-global-optimization/runs/Pt100_glycerol_seed4_sevennet_omni,2026-06-20T02:26:12.805361,2026-06-20T03:27:35.097285
293,Pt100,ethene,5,sevennet_omni,finished,-1.6118583679199219,-0.9682731628417969,5,/home/jcho5/goad-global-optimization/runs/Pt100_ethene_seed5_sevennet_omni,2026-06-19T02:40:10.608351,2026-06-19T02:58:06.332376
293,Pt100,glycerol,5,sevennet_omni,finished,-1.0459823608398438,-0.7678146362304688,5,/home/jcho5/goad-global-optimization/runs/Pt100_glycerol_seed5_sevennet_omni,2026-06-20T02:26:12.806638,2026-06-20T03:28:28.251908
294,Pt100,ethane,0,sevennet_omni,finished,-0.47254180908203125,-0.45606231689453125,0,/home/jcho5/goad-global-optimization/runs/Pt100_ethane_seed0_sevennet_omni,2026-06-19T02:40:30.611679,2026-06-19T03:00:18.398150
295,Pt100,ethane,1,sevennet_omni,finished,-0.46805572509765625,-0.45276641845703125,1,/home/jcho5/goad-global-optimization/runs/Pt100_ethane_seed1_sevennet_omni,2026-06-19T02:40:49.251868,2026-06-19T02:59:25.882025
296,Pt100,ethane,2,sevennet_omni,finished,-0.4833488464355469,-0.4664115905761719,2,/home/jcho5/goad-global-optimization/runs/Pt100_ethane_seed2_sevennet_omni,2026-06-19T02:42:45.787069,2026-06-19T03:02:25.552947
297,Pt100,ethane,3,sevennet_omni,finished,-0.47028350830078125,-0.45273590087890625,3,/home/jcho5/goad-global-optimization/runs/Pt100_ethane_seed3_sevennet_omni,2026-06-19T02:44:17.881687,2026-06-19T03:03:40.155606
298,Pt100,ethane,4,sevennet_omni,finished,-0.48062896728515625,-0.46231842041015625,4,/home/jcho5/goad-global-optimization/runs/Pt100_ethane_seed4_sevennet_omni,2026-06-19T02:44:30.732615,2026-06-19T03:04:12.190764
299,Pt100,ethane,5,sevennet_omni,finished,-0.46884918212890625,-0.45001983642578125,5,/home/jcho5/goad-global-optimization/runs/Pt100_ethane_seed5_sevennet_omni,2026-06-19T02:44:30.752982,2026-06-19T03:03:55.998722
300,Pt100,propane,0,sevennet_omni,finished,-0.5281715393066406,-0.5073585510253906,0,/home/jcho5/goad-global-optimization/runs/Pt100_propane_seed0_sevennet_omni,2026-06-19T02:44:30.683102,2026-06-19T03:06:36.053895
300,Pt100,propanol,0,sevennet_omni,finished,-0.8054885864257812,-0.6941909790039062,0,/home/jcho5/goad-global-optimization/runs/Pt100_propanol_seed0_sevennet_omni,2026-06-20T02:41:56.595684,2026-06-20T03:27:42.838639
301,Pt100,propane,1,sevennet_omni,finished,-0.5243263244628906,-0.5079383850097656,1,/home/jcho5/goad-global-optimization/runs/Pt100_propane_seed1_sevennet_omni,2026-06-19T02:44:36.066627,2026-06-19T03:05:58.758180
301,Pt100,propanol,1,sevennet_omni,finished,-0.5914077758789062,-0.5647659301757812,1,/home/jcho5/goad-global-optimization/runs/Pt100_propanol_seed1_sevennet_omni,2026-06-20T02:41:56.600356,2026-06-20T03:27:15.489169
302,Pt100,propane,2,sevennet_omni,finished,-0.4458351135253906,-0.4246253967285156,2,/home/jcho5/goad-global-optimization/runs/Pt100_propane_seed2_sevennet_omni,2026-06-19T02:44:45.525484,2026-06-19T03:05:41.652117
302,Pt100,propanol,2,sevennet_omni,finished,-0.6216506958007812,-0.5547866821289062,2,/home/jcho5/goad-global-optimization/runs/Pt100_propanol_seed2_sevennet_omni,2026-06-20T02:41:56.597520,2026-06-20T03:28:42.831414
303,Pt100,propane,3,sevennet_omni,finished,-0.5284805297851562,-0.5075454711914062,3,/home/jcho5/goad-global-optimization/runs/Pt100_propane_seed3_sevennet_omni,2026-06-19T02:45:01.755338,2026-06-19T03:06:50.409107
303,Pt100,propanol,3,sevennet_omni,finished,-0.6215858459472656,-0.5095863342285156,3,/home/jcho5/goad-global-optimization/runs/Pt100_propanol_seed3_sevennet_omni,2026-06-20T02:41:56.597713,2026-06-20T03:26:38.128652
304,Pt100,propane,4,sevennet_omni,finished,-0.5048866271972656,-0.4836463928222656,4,/home/jcho5/goad-global-optimization/runs/Pt100_propane_seed4_sevennet_omni,2026-06-19T02:45:01.739038,2026-06-19T03:09:12.468515
304,Pt100,propanol,4,sevennet_omni,finished,-0.6463050842285156,-0.5842628479003906,4,/home/jcho5/goad-global-optimization/runs/Pt100_propanol_seed4_sevennet_omni,2026-06-20T02:41:56.600395,2026-06-20T03:27:10.960165
305,Pt100,propane,5,sevennet_omni,finished,-0.5002174377441406,-0.4739112854003906,5,/home/jcho5/goad-global-optimization/runs/Pt100_propane_seed5_sevennet_omni,2026-06-19T02:45:36.567854,2026-06-19T03:05:43.801288
305,Pt100,propanol,5,sevennet_omni,finished,-0.7285194396972656,-0.6564674377441406,5,/home/jcho5/goad-global-optimization/runs/Pt100_propanol_seed5_sevennet_omni,2026-06-20T02:41:56.726817,2026-06-20T03:26:45.985761
306,Pt100,propene,0,sevennet_omni,finished,-1.5178565979003906,-0.7988624572753906,0,/home/jcho5/goad-global-optimization/runs/Pt100_propene_seed0_sevennet_omni,2026-06-19T02:45:39.904081,2026-06-19T03:07:19.697109
307,Pt100,propene,1,sevennet_omni,finished,-1.5185890197753906,-0.7233619689941406,1,/home/jcho5/goad-global-optimization/runs/Pt100_propene_seed1_sevennet_omni,2026-06-19T02:45:42.252373,2026-06-19T03:09:55.325614
308,Pt100,propene,2,sevennet_omni,finished,-1.8208694458007812,-0.7897109985351562,2,/home/jcho5/goad-global-optimization/runs/Pt100_propene_seed2_sevennet_omni,2026-06-19T02:47:49.484040,2026-06-19T03:08:43.880916
309,Pt100,propene,3,sevennet_omni,finished,-1.5115127563476562,-0.7662429809570312,3,/home/jcho5/goad-global-optimization/runs/Pt100_propene_seed3_sevennet_omni,2026-06-19T02:47:57.545896,2026-06-19T03:09:07.684976
310,Pt100,propene,4,sevennet_omni,finished,-1.5296669006347656,-0.8007545471191406,4,/home/jcho5/goad-global-optimization/runs/Pt100_propene_seed4_sevennet_omni,2026-06-19T02:48:26.889421,2026-06-19T03:09:22.564234
311,Pt100,propene,5,sevennet_omni,finished,-1.4910621643066406,-0.7633399963378906,5,/home/jcho5/goad-global-optimization/runs/Pt100_propene_seed5_sevennet_omni,2026-06-19T02:48:42.282915,2026-06-19T03:09:59.464587
312,Pt100,isopropanol,0,sevennet_omni,finished,-0.7881431579589844,-0.7214012145996094,0,/home/jcho5/goad-global-optimization/runs/Pt100_isopropanol_seed0_sevennet_omni,2026-06-20T02:41:56.596422,2026-06-20T03:28:32.935238
313,Pt100,isopropanol,1,sevennet_omni,finished,-0.7331199645996094,-0.5824851989746094,1,/home/jcho5/goad-global-optimization/runs/Pt100_isopropanol_seed1_sevennet_omni,2026-06-20T02:41:56.600798,2026-06-20T03:24:54.535678
314,Pt100,isopropanol,2,sevennet_omni,finished,-0.7893638610839844,-0.7087059020996094,2,/home/jcho5/goad-global-optimization/runs/Pt100_isopropanol_seed2_sevennet_omni,2026-06-20T02:47:56.585080,2026-06-20T03:33:40.375461
315,Pt100,isopropanol,3,sevennet_omni,finished,-0.7317466735839844,-0.5890159606933594,3,/home/jcho5/goad-global-optimization/runs/Pt100_isopropanol_seed3_sevennet_omni,2026-06-20T02:47:56.582052,2026-06-20T03:34:11.681435
316,Pt100,isopropanol,4,sevennet_omni,finished,-0.7394332885742188,-0.5963363647460938,4,/home/jcho5/goad-global-optimization/runs/Pt100_isopropanol_seed4_sevennet_omni,2026-06-20T02:47:56.581158,2026-06-20T03:35:05.163734
317,Pt100,isopropanol,5,sevennet_omni,finished,-0.7399559020996094,-0.5818443298339844,5,/home/jcho5/goad-global-optimization/runs/Pt100_isopropanol_seed5_sevennet_omni,2026-06-20T02:47:56.584750,2026-06-20T03:33:20.874951
330,Pd111,CO2,0,sevennet_omni,finished,-0.4440326690673828,-0.4391498565673828,0,/home/jcho5/goad-global-optimization/runs/Pd111_CO2_seed0_sevennet_omni,2026-06-19T02:54:29.637734,2026-06-19T03:12:17.286219
331,Pd111,CO2,1,sevennet_omni,finished,-0.4468708038330078,-0.4415607452392578,1,/home/jcho5/goad-global-optimization/runs/Pd111_CO2_seed1_sevennet_omni,2026-06-19T02:54:36.073667,2026-06-19T03:12:48.098222
332,Pd111,CO2,2,sevennet_omni,finished,-0.4461688995361328,-0.4410419464111328,2,/home/jcho5/goad-global-optimization/runs/Pd111_CO2_seed2_sevennet_omni,2026-06-19T02:54:36.082330,2026-06-19T03:12:30.085673
333,Pd111,CO2,3,sevennet_omni,finished,-0.4405231475830078,-0.4366779327392578,3,/home/jcho5/goad-global-optimization/runs/Pd111_CO2_seed3_sevennet_omni,2026-06-19T02:54:42.901373,2026-06-19T03:13:17.948082
334,Pd111,CO2,4,sevennet_omni,finished,-0.4477558135986328,-0.4419574737548828,4,/home/jcho5/goad-global-optimization/runs/Pd111_CO2_seed4_sevennet_omni,2026-06-19T02:54:45.747892,2026-06-19T03:14:32.197393
335,Pd111,CO2,5,sevennet_omni,finished,-0.4432086944580078,-0.4386615753173828,5,/home/jcho5/goad-global-optimization/runs/Pd111_CO2_seed5_sevennet_omni,2026-06-19T02:55:04.603232,2026-06-19T03:13:22.736964
336,Pd111,ethanol,0,sevennet_omni,finished,-0.6737556457519531,-0.5903205871582031,0,/home/jcho5/goad-global-optimization/runs/Pd111_ethanol_seed0_sevennet_omni,2026-06-19T02:55:18.702052,2026-06-19T03:17:45.009485
337,Pd111,ethanol,1,sevennet_omni,finished,-0.6658172607421875,-0.5676727294921875,1,/home/jcho5/goad-global-optimization/runs/Pd111_ethanol_seed1_sevennet_omni,2026-06-19T02:55:36.988430,2026-06-19T03:17:54.891862
